                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.6079,                 1.2044,                 1.3201,                0.58319,                0.35171,                0.39055,                0.13605,                 2.4631,                 1.9972,                 2.0143,              0.0014362,              0.0014362,              0.0014362
                    132,                 1.6596,                 1.2634,                 1.3448,                0.51145,                0.40437,                0.36124,                0.13001,                 2.4375,                 2.0608,                 2.0058,              0.0014014,              0.0014014,              0.0014014
                    133,                 1.6353,                 1.1823,                 1.2727,                0.51964,                0.45355,                0.40811,                0.14528,                 2.5769,                 1.9898,                  2.056,              0.0013669,              0.0013669,              0.0013669
                    134,                 1.6319,                 1.1443,                 1.2927,                0.58858,                0.39891,                0.41912,                0.14146,                 2.6039,                 2.0228,                 2.0655,              0.0013327,              0.0013327,              0.0013327
                    135,                 1.6407,                 1.2062,                 1.3377,                0.60216,                0.37705,                0.39226,                0.13215,                 2.5916,                 2.0471,                  2.064,              0.0012987,              0.0012987,              0.0012987
                    136,                 1.6088,                 1.1458,                 1.2751,                0.56054,                0.37158,                0.38992,                0.13996,                 2.6054,                 2.0083,                 2.1166,              0.0012651,              0.0012651,              0.0012651
                    137,                 1.6045,                 1.1375,                 1.3066,                0.51455,                0.39891,                0.39918,                0.13597,                 2.5564,                  1.945,                 2.0796,              0.0012318,              0.0012318,              0.0012318
                    138,                 1.6025,                  1.155,                 1.2924,                0.67158,                0.33333,                0.41328,                0.14427,                 2.5537,                 1.9436,                  2.055,              0.0011988,              0.0011988,              0.0011988
                    139,                 1.6191,                 1.1707,                 1.3019,                0.55738,                0.40984,                0.42388,                0.14934,                 2.5338,                 1.9831,                 2.0271,              0.0011662,              0.0011662,              0.0011662
                    140,                 1.5898,                  1.132,                  1.304,                0.57585,                0.40437,                0.41377,                0.13884,                 2.6174,                 1.9862,                 2.1207,              0.0011338,              0.0011338,              0.0011338
                    141,                  1.593,                 1.1482,                 1.2896,                0.58209,                0.37158,                0.40007,                0.13396,                 2.5993,                 1.9678,                 2.0971,              0.0011019,              0.0011019,              0.0011019
                    142,                 1.5707,                 1.1025,                 1.2907,                0.52984,                0.42492,                0.40524,                0.12814,                  2.561,                 1.9439,                 2.0927,              0.0010702,              0.0010702,              0.0010702
